Present Date: 01/01/2025 17:44:22,Unnamed: 1,Mean_Before_Fault,Mean_After_Fault
AC3_B_Ph_Curr,Amps,0.0,40.4
AC1_IpErLeak_I,mA,0.4,1.0
AC3_IpErLeak_I,mA,0.2,1.0
AC3_OpErLeak_I,mA,0.0,0.8
AC2_BATV,Volts,100.0,99.8
AC2_Batt_DCLV,Volts,364.8,172.8
AC3_Batt_DCLV,Volts,364.8,172.8
AC1_Input_Frequency,Hz,49.968,49.96
IC1_DCLV,NUM,363.6,362.4
AC2BCHFiredCnt,NUM,0.0,77.4
AC2_Input_Frequency,Hz,49.96,49.906
IC2_DCLV,NUM,178.2,282.6
AC3_Input_Frequency,Hz,49.959999999999994,49.90599999999999
IC3_DCLV,NUM,188.2,605.4
ACC_Index,NUM,7800.0,7035.0
LC1_VsPeak,Volts,2036.3199999999997,2037.2599999999998
LC1_IsPeak,Amps,17.18,17.2
LC1_Vs_10mSec_Rms,Volts,1392.48,1398.94
LC1_IpPeak,Amps,77.58000000000001,18.4
LC1_OVL_I,Amps,1.0,0.9800000000000001
LC1_DCL_EFlt_V,Volts,1742.7400000000002,1692.8400000000001
LC1__Is_Rms_With_Ripple,Amps,12.580000000000002,12.66
LC1_DCLV_Max,Volts,2353.4,2284.4
LC1_PLL_Ph_Err,Deg,-0.01,0.008
LC2_VsPeak,Volts,2036.3,2040.0
LC2_IsPeak,Amps,9.0,8.7
LC2_Vs_10mSec_Rms,Volts,1398.84,1402.44
LC2_IpPeak,Amps,75.38000000000001,15.76
LC2_OVL_I,Amps,0.8200000000000001,0.8200000000000001
LC2_DCL_EFlt_V,Volts,1745.7,1695.44
LC2__Is_Rms_With_Ripple,Amps,4.1,4.040000000000001
LC2_DCLV_Max,volts,2393.2,2301.0
LC2_PLL_Ph_Err,deg,0.008,0.012
LC3_VsPeak,volts,2036.8200000000002,2038.02
LC3_IsPeak,Amps,11.92,11.080000000000002
LC3_Vs_10mSec_Rms,volts,1395.62,1400.8000000000002
LC3_IpPeak,Amps,75.4,15.319999999999999
LC3_OVL_I,Amps,0.78,0.8
LC3_DCL_EFlt_V,Volts,1750.58,1700.9
LC3__Is_Rms_With_Ripple,Amps,7.7,7.56
LC3_DCLV_Max,Volts,2394.0,2308.6
LC3_PLL_Ph_Err,deg,0.008000000000000002,0.012
LC4_VsPeak,Volts,2036.58,2040.4800000000002
LC4_IsPeak,Amps,8.1,8.7
LC4_Vs_10mSec_Rms,Volts,1399.0,1402.14
LC4_IpPeak,Amps,74.82000000000001,14.899999999999997
LC4_OVL_I,Amps,1.0,1.0
LC4_DCL_EFlt_V,Volts,1752.1399999999999,1701.64
LC4__Is_Rms_With_Ripple,Amps,4.44,4.42
LC4_DCLV_Max,Volts,2365.0,2354.2
LC4_PLL_Ph_Err,deg,-0.003999999999999999,0.006
Fault_Count,NUM,12.0,13.6
